artist,lyrics
Linkin Park,"It starts with

One thing I don't know why
It doesn't even matter how hard you try
Keep that in mind I designed this rhyme
To explain in due time

All I know
Time is a valuable thing
Watch it fly by as the pendulum swings
Watch it count down to the end of the day
The clock ticks life away

It's so unreal
Didn't look out below
Watch the time go right out the window
Trying to hold on, but didn't even know
Or wasted it all just to watch you go

I kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually be
A memory of a time when

I tried so hard and got so far
But in the end it doesn't even matter
I had to fall to lose it all
But in the end it doesn't even matter

One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind I designed this rhyme
To remind myself how

I tried so hard
In spite of the way you were mocking me
Acting like I was part of your property
Remembering all the times you fought with me
I'm surprised

It got so far
Things aren't the way they were before
You wouldn't even recognize me anymore
Not that you knew me back then
But it all comes back to me in the end

You kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually be
A memory of a time when

I tried so hard and got so far
But in the end it doesn't even matter
I had to fall to lose it all
But in the end it doesn't even matter

I've put my trust in you
Pushed as far as I can go
And for all this
There's only one thing you should know

I've put my trust in you
Pushed as far as I can go
And for all this
There's only one thing you should know

I tried so hard and got so far
But in the end it doesn't even matter
I had to fall to lose it all
But in the end it doesn't even matter"
Linkin Park,"I'm tired of being what you want me to be
Feeling so faithless, lost under the surface
I don't know what you're expecting of me
Put under the pressure of walking in your shoes
Caught in the undertow, just caught in the undertow
And every step that I take is another mistake to you
Caught in the undertow, just caught in the undertow

I've become so numb, I can't feel you there
Become so numb, so much more aware
By becoming this all I want to do
Is be more like me and be less like you

Can't you see that you're smothering me?
Holding too tightly, afraid to lose control
Cause everything that you thought I would be
Has fallen apart right in front of you
Caught in the undertow, just caught in the undertow
And every step that I take is another mistake to you
Caught in the undertow, just caught in the undertow
And every second I waste is more than I can take!

I've become so numb, I can't feel you there
Become so numb, so much more aware
By becoming this all I want to do
Is be more like me and be less like you

And I know I may end up failing too
But I know you were just like me with someone disappointed in you

I've become so numb, I can't feel you there
Become so numb, so much more aware
By becoming this all I want to do
Is be more like me and be less like you
I've become so numb, I can't feel you there
I'm tired of being what you want me to be
I've become so numb, I can't feel you there
I'm tired of being what you want me to be"
Linkin Park,"Graffiti decorations
Under the sky of dust
A constant wave of tension
On top of broken trust
The lessons that you taught me
I learned were never true

Now I find myself in question
They point the finger at me again
Guilty by association
You point the finger at me again

I wanna run away
Never say goodbye
I wanna know the truth
Instead of wondering why
I wanna know the answers
No more lies
I wanna shut the door
And open up my mind

Paper bags and angry voices
Under a sky of dust
Another wave of tension
Has more than filled me up
All my talk of taking action
These words were never true

Now I find myself in question
They point the finger at me again
Guilty by association
You point the finger at me again

I wanna run away
Never say goodbye
I wanna know the truth
Instead of wondering why
I wanna know the answers
No more lies
I wanna shut the door
And open up my mind

I'm gonna run away, and never say goodbye
Gonna run away, gonna run away
Gonna run away, gonna run away
I'm gonna run away and never wonder why
Gonna run away, gonna run away
Gonna run away, gonna run away
I'm gonna run away and open up my mind
Gonna run away, gonna run away
Gonna run away, gonna run away
Gonna run away, gonna run away
Gonna run away, gonna run away

I wanna run away
Never say goodbye
I wanna know the truth
Instead of wondering why
I wanna know the answers
No more lies
I wanna shut the door
And open up my mind

I wanna run away and open up my mind
I wanna run away and open up my mind
I wanna run away and open up my mind
I wanna run away and open up my mind"
Linkin Park,"Why does it feel like night today? 
Something in here's not right today.
Why am I so uptight today?
Paranoia's all I got left 
I don't know what stressed me first
Or how the pressure was fed 
But I know just what it feels like
To have a voice in the back of my head
It's like a face that I hold inside
Like a face that awakes when I close my eyes
A face watches every time I lie
A face that laughs every time I fall
(And watches everything)
So I know that when it's time to sink or swim
That the face inside is hearing me
Right underneath my skin

[Chorus]
It's like I'm paranoid lookin' over my back
It's like a whirlwind inside of my head
It's like I can't stop what I'm hearing within
It's like the face inside is right beneath my skin

I know I've got a face in me
Points out all my mistakes to me
You've got a face on the inside too and
Your paranoia's probably worse
I don't know what set me off first but I know what I can't stand
Everybody acts like the fact of the matter is
I can't add up to what you can but
Everybody has a face that they hold inside
A face that awakes when I close my eyes
A face watches every time they lie
A face that laughs every time they fall
(And watches everything)
So you know that when it's time to sink or swim
That the face inside is watching you too 
Right inside your skin

[Chorus: x2]

The face inside is right beneath your skin
The face inside is right beneath your skin
The face inside is right beneath your skin

The sun goes down
I feel the light betray me

[Chorus]

It's like I'm paranoid lookin' over my back
It's like a whirlwind inside of my head
It's like I can't stop what I'm hearing within
It's like I can't stop what I'm hearing within
It's like I can't stop what I'm hearing within
It's like the face inside is right beneath my skin"
Linkin Park,"Forfeit the game
Before somebody else
Takes you out of the frame
And puts your name to shame
Cover up your face
You can't run the race
The pace is too fast
You just won't last

You love the way I look at you
While taking pleasure in the awful things you put me through
You take away if I give in
My life, my pride is broken

You like to think you're never wrong
(You live what you've learned)
You have to act like you're someone
(You live what you've learned)
You want someone to hurt like you
(You live what you've learned)
You want to share what you've been through
(You live what you've learned)

You love the things I say I'll do
The way I'll hurt myself again just to get back at you
You take away when I give in
My life, my pride is broken

You like to think you're never wrong
(You live what you've learned)
You have to act like you're someone
(You live what you've learned)
You want someone to hurt like you
(You live what you've learned)
You want to share what you've been through
(You live what you've learned)

Forfeit the game
Before somebody else
Takes you out of the frame
And puts your name to shame
Cover up your face
You can't run the race
The pace is too fast
You just won't last
Forfeit the game
Before somebody else
Takes you out of the frame
And puts your name to shame
Cover up your face
You can't run the race
The pace is too fast
You just won't last

You like to think you're never wrong
(You live what you've learned)
You have to act like you're someone
(You live what you've learned)
You want someone to hurt like you
(You live what you've learned)
You want to share what you've been through
(You live what you've learned)

You like to think you're never wrong
(Forfeit the game) (you live what you've learned)
You have to act like you're someone
(Forfeit the game) (you live what you've learned)
You want someone to hurt like you
(Forfeit the game) (you live what you've learned)
You want to share what you've been through
(You live what you've learned)"
Linkin Park,"Sometimes I need to remember just to breathe
Sometimes I need you to stay away from me
Sometimes I'm in disbelief, I didn't know
Somehow I need you to go

Don't stay
Forget our memories
Forget our possibilities
What you were changing me into
(Just give me myself back and)
Don't stay
Forget our memories
Forget our possibilities
Take all your faithlessness with you
(Just give me myself back and)
Don't stay

Sometimes I feel like I trusted you too well
Sometimes I just feel like screaming at myself
Sometimes I'm in disbelief, I didn't know
Somehow I need to be alone

Don't stay
Forget our memories
Forget our possibilities
What you were changing me into
(Just give me myself back and)
Don't stay
Forget our memories
Forget our possibilities
Take all your faithlessness with you
(Just give me myself back and)
Don't stay

I don't need you anymore, don't want to be ignored
I don't need one more day, of you wasting me away
I don't need you anymore, I don't want to be ignored
I don't need one more day, of you wasting me away
(With no apologies)

Don't stay
Forget our memories
Forget our possibilities
What you were changing me into
(Just give me myself back and)
Don't stay
Forget our memories
Forget our possibilities
Take all your faithlessness with you
(Just give me myself back control)
Don't stay
Don't stay
Don't stay"
Linkin Park,"When this began,
I had nothing to say 
And I'd get lost in the nothingness inside of me
(I was confused)
And I let it all out to find that I'm not the only person with these things in mind (inside of me)
But all the vacancy the words revealed
Is the only real thing that I got left to feel (nothing to lose)
Just stuck, hollow and alone
And the fault is my own,
And the fault is my own

I want to heal, I want to feel,
What I thought was never real
I want to let go of the pain I felt so long (erase all the pain 'til it's gone)
I want to heal, I want to feel
Like I'm close to something real
I want to find something I've wanted all along
Somewhere I belong

And I've got nothing to say
I can't believe I didn't fall right down on my face (I was confused) 
Looking everywhere only to find that it's not the way I had imagined it all in my mind (so what am I?)
What do I have but negativity?
'Cause I can't justify the way everyone is looking at me (nothing to lose)
Nothing to gain, hollow and alone
And the fault is my own,
And the fault is my own

I want to heal, I want to feel,
What I thought was never real
I want to let go of the pain I've held so long (erase all the pain 'till it's gone)
I want to heal, I want to feel
Like I'm close to something real
I want to find something I've wanted all along
Somewhere I belong

I will never know myself until I do this on my own
And I will never feel,
Anything else until my wounds are healed
I will never be
Anything 'til I break away from me
And I will break away, and find myself today

I want to heal, I want to feel
What I thought was never real
I want to let go of the pain I felt so long (erase all the pain til it's gone)
I want to heal, I want to feel,
Like I'm close to something real
I want to find something I've wanted all along
Somewhere I belong

I want to heal I want to feel like I'm,
Somewhere I belong,
I want to heal I want to feel like I'm somewhere I belong
Somewhere I belong"
Linkin Park,"When I pretend
Everything is what I want it to be
I look exactly like what you had always wanted to see
When I pretend
I can forget about the criminal I am
Stealing second after second just cause I know I can, but
I can't pretend this is the way it will stay, I'm just
Trying to bend the truth
I can't pretend I'm who you want me to be
So I'm
Lying my way from you

(no, no turning back now)
I want to be pushed aside
So let me go
(no, no turning back now)
Let me take back my life
I'd rather be all alone
(no turning back now)
Anywhere on my own
Cause I can see
(no, no turning back now)
The very worst part of you
Is me

I remember what they taught to me
Remember condescending talk of who I ought to be
Remember listening to all of that and this again
So I pretended up a person who was fitting in
And now you think this person really is me and I'm
(trying to bend the truth)
But the more I push
The more I'm pulling away
'cause I'm

Lying my way from you

(no, no turning back now)
I want to be pushed aside
So let me go
(no, no turning back now)
Let me take back my life
I'd rather be all alone
(no turning back now)
Anywhere on my own
Cause I can see
(no, no turning back now)
The very worst part of you
The very worst part of you
Is me

This isn't what I wanted to be
I never thought that what I said
Would have you running from me
Like this

This isn't what I wanted to be
I never thought that what I said
Would have you running from me
Like this

This isn't what I wanted to be
I never thought that what I said
Would have you running from me
Like this

This isn't what I wanted to be
I never thought that what I said
Would have you running from me
Like this

You
(no turning back now)
I want to be pushed aside
So let me go
(no, no turning back now)
Let me take back my life
I'd rather be all alone
(no turning back now)
Anywhere on my own
Cause I can see
(no, no turning back now)
The very worst part of you
The very worst part of you
Is me"
Linkin Park,"I don't know who to trust your surprise
(Everyone feels so far away from me)
Happy thoughts sift through dust and the lies
(Trying not to break but I'm so tired of this deceit)

(Every time I try to make myself get back up on my feet
(All I ever think about is this)
(All the tiring time between)
(And how trying to put my trust in you just takes so much out of me)

Take everything from the inside and throw it all away
'cause I swear for the last time I won't trust myself with you

Tension is building inside steadily
(Everyone feels so far away from me)
Happy thoughts forcing their way out of me
(Trying not to break but I'm so tired of this deceit)
(Every time I try to make myself get back up on my feet)
(All I ever think about is this)
(All the tiring time between)
(And how trying to put my trust in you just takes so much out of me)

Take everything from the inside and throw it all away
'Cause I swear for the last time I won't trust myself with you

I won't waste myself on you
You
You
Waste myself on you
You
You

I'll take everything from the inside and throw it all away
'Cause I swear for the last time I won't trust myself with you

Everything from the inside and just throw it all away
'Cause I swear for the last time I won't trust myself with you
You
You"
Linkin Park,"I am a little bit of loneliness, a little bit of disregard
Handful of complaints but I can't help the fact
That everyone can see these scars
I am what I want you to want, what I want you to feel
But it's like no matter what I do, I can't convince you
To just believe this is real
So I, let go watching you turn your back like you always do
Face away and pretend I'm not
But I'll be here 'cause you're all that I've got

I can't feel the way I did before
Don't turn your back on me
I won't be ignored
Time won't heal this damage anymore
Don't turn your back on me I won't be ignored

I am, a little bit insecure, a little unconfident
'Cause you don't understand I do what I can
But sometimes I don't make sense
I am, what you never want to say, but I've never had a doubt
It's like no matter what I do I can't convince you for once just to hear me out
So I, let go watching you turn your back like you always do
You face away and pretend I'm not
But I'll be here 'cause you're all that I've got

I can't feel the way I did before
Don't turn your back on me
I won't be ignored
Time won't heal this damage anymore
Don't turn your back on me I won't be ignored

You hear me out now
You're gonna listen to me like it or not
Right now, hear me out now
You're gonna listen to me like it or not
Right now

I can't feel the way I did before
Don't turn your back on me
I won't be ignored
Time won't heal this damage anymore
Don't turn your back on me I won't be ignored

I can't feel 
Don't turn your back on me
I won't be ignored
Time won't heal 
Don't turn your back on me I won't be ignored"
